Batch,number,CN,Source,C,H,N
D2,14,34.051,dry,46.31,5.62,1.36
D2,19,31.531,dry,45.09,5.54,1.43
D2,21,31.828,dry,46.15,5.48,1.45
D2,22,36.172,dry,46.30,5.74,1.28
D2,27,35.211,dry,46.83,5.81,1.33
D2,28,39.925,dry,47.91,5.60,1.20
W2,8,47.05,wet,47.05,5.73,1.00
W2,14,44.888,wet,48.03,5.46,1.07
W2,17,47.83,wet,47.83,5.61,1.00
W2,19,53.133,wet,47.82,5.64,0.90
W2,21,46.587,wet,48.45,5.73,1.04
W2,27,45.543,wet,47.82,5.91,1.05
W3,12,51.739,wet,47.60,5.77,0.92
W3,21,46.01,wet,47.85,5.71,1.04
W3,27,41.732,wet,46.74,5.45,1.12
W3,30,42.045,wet,47.09,5.40,1.12
W3,35,45.029,wet,47.28,5.75,1.05
W3,43,47.119,wet,47.59,5.44,1.01
D3,1,29.829,dry,47.13,5.75,1.58
D3,19,32.355,dry,45.62,5.42,1.41
D3,20,29.513,dry,46.04,5.54,1.56
D3,25,32.414,dry,45.38,5.75,1.40
D3,26,33.531,dry,47.95,6.01,1.43
D3,46,33.043,dry,46.59,5.61,1.41
W4,4,48.17,wet,48.17,5.55,1.00
W4,6,48.337,wet,47.37,5.59,0.98
W4,10,54.489,wet,49.04,5.72,0.90
W4,14,49.598,wet,48.11,5.65,0.97
W4,15,49.541,wet,48.55,5.56,0.98
W4,24,46.62,wet,46.62,5.16,1.00
D4,3,35.188,dry,46.80,5.75,1.33
D4,13,34.13,dry,47.10,5.74,1.38
D4,24,33.099,dry,47.00,5.49,1.42
D4,31,35.136,dry,49.19,5.78,1.40
D4,34,35.634,dry,47.75,5.51,1.34
D4,35,33.627,dry,47.75,5.70,1.42
D1,5,33.159,dry,45.76,5.96,1.38
D1,10,35.545,dry,46.92,5.49,1.32
D1,17,33.077,dry,47.30,5.44,1.43
D1,21,34.312,dry,47.35,5.64,1.38
D1,26,32.869,dry,47.66,5.75,1.45
D1,46,36.031,dry,46.12,5.38,1.28
W1,1,46.824,wet,47.76,5.55,1.02
W1,4,46.784,wet,47.72,5.29,1.02
W1,20,46.816,wet,45.88,4.95,0.98
W1,26,46.02,wet,45.56,4.96,0.99
W1,30,43.304,wet,73.92,8.79,1.41
W1,43,52.911,wet,47.62,6.03,0.90
D5,10,30.967,dry,46.45,5.93,1.50
D5,14,34.547,dry,47.33,5.71,1.37
D5,23,28.877,dry,46.78,5.49,1.62
D5,25,32.887,dry,46.37,5.61,1.41
D5,31,32.609,dry,43.37,5.34,1.33
D5,32,28.231,dry,45.17,5.65,1.60
W5,3,45.697,wet,49.81,5.61,1.09
W5,15,44.518,wet,48.97,5.87,1.10
W5,18,44.054,wet,49.34,5.84,1.12
W5,20,47.077,wet,48.96,5.84,1.04
W5,26,43.018,wet,49.04,5.75,1.14
W5,27,42.155,wet,48.90,5.90,1.16
W6,4,46.912,wet,47.85,5.47,1.02
W6,6,44.832,wet,47.97,5.61,1.07
W6,11,43.396,wet,48.17,5.55,1.11
W6,14,42.438,wet,47.53,5.46,1.12
W6,26,42.855,wet,47.14,5.43,1.10
W6,32,50.083,wet,54.96,6.58,1.38
D6,1,44.828,dry,41.69,4.86,0.93
D6,11,35.371,dry,46.69,5.48,1.32
D6,13,37.371,dry,46.34,5.60,1.24
D6,19,36.992,dry,46.98,5.58,1.27
D6,25,33.35,dry,46.69,5.52,1.40
D6,26,35.576,dry,46.96,5.57,1.32
D8,2,28.58181818,dry,47.16,5.79,1.65
D8,17,30.76315789,dry,46.76,5.28,1.52
D8,22,36.05925926,dry,48.68,5.83,1.35
D8,25,37.26717557,dry,48.82,5.69,1.31
D8,28,31.21019108,dry,49.00,5.62,1.57
D8,32,34.05594406,dry,48.70,5.61,1.43
W8,6,40.35652174,wet,46.41,5.36,1.15
W8,20,46.6039604,wet,47.07,5.31,1.01
W8,25,45.40384615,wet,47.22,5.55,1.04
W8,28,43.13888889,wet,46.59,5.65,1.08
W8,30,42.10714286,wet,47.16,5.78,1.12
W8,33,50.10638298,wet,47.10,5.41,0.94
