fill date,bagNum,Site,TrapNum,date of deployment,date of retrieval,numDaysField,TimeFrame,Batch,initialMass,dryMass,propRemain,propReduced,weighed,Source_Cond,Site_Cond,Richness,Ratio
8/9/2018,19,408,-,20/9/2018,20/9/2018,0,0,W2,6.05,5.51,0.910743802,0.089256198,28/9/2018,wet,dry,7,47.505
14/9/2018,44,405,21,20/9/2018,13/11/2018,54,2,W3,6.04,0.78,0.129139073,0.870860927,28/11/2018,wet,dry,7,45.612
8/9/2018,14,213,-,20/9/2018,20/9/2018,0,0,W2,6.07,5.51,0.907742998,0.092257002,28/9/2018,wet,dry,7,47.505
27/9/2018,10,408,A NE,2/10/2018,2/10/2018,0,0,W4,6.06,5.49,0.905940594,0.094059406,12/10/2018,wet,dry,12,49.459
28/10/2018,4,405,23,30/10/2018,26/12/2018,57,2,D6,6.41,1.36,0.212168487,0.787831513,8/1/2019,dry,dry,7,37.248
8/9/2018,17,3,-,11/9/2018,11/9/2018,0,0,W2,6.17,5.58,0.904376013,0.095623987,21/9/2018,wet,wet,7,47.505
28/10/2018,22,107,14,1/11/2018,26/12/2018,55,2,D6,6.09,1.34,0.220032841,0.779967159,17/1/2019,dry,dry,7,37.248
3/9/2018,10,4,-,11/9/2018,11/9/2018,0,0,D1,6.37,5.76,0.904238619,0.095761381,21/9/2018,dry,wet,12,34.166
8/9/2018,27,9,-,18/9/2018,18/9/2018,0,0,W2,6.36,5.75,0.90408805,0.09591195,28/9/2018,wet,wet,7,47.505
27/9/2018,15,9,B SW,4/10/2018,4/10/2018,0,0,W4,6.02,5.43,0.901993355,0.098006645,12/10/2018,wet,wet,12,49.459
28/10/2018,8,405,21,30/10/2018,26/12/2018,57,2,D6,6.22,1.68,0.270096463,0.729903537,8/1/2019,dry,dry,7,37.248
8/9/2018,8,4,-,11/9/2018,11/9/2018,0,0,W2,6.25,5.63,0.9008,0.0992,21/9/2018,wet,wet,7,47.505
27/9/2018,14,405,A SE,2/10/2018,2/10/2018,0,0,W4,6.09,5.48,0.899835796,0.100164204,12/10/2018,wet,dry,12,49.459
8/9/2018,28,3,-,11/9/2018,11/9/2018,0,0,D2,6.08,5.47,0.899671053,0.100328947,21/9/2018,dry,wet,11,34.786
3/9/2018,46,6,-,6/9/2018,6/9/2018,0,0,D1,6.84,6.15,0.899122807,0.100877193,14/9/2018,dry,wet,12,34.166
28/10/2018,21,213,2,30/10/2018,26/12/2018,57,2,D6,6.46,1.89,0.292569659,0.707430341,15/1/2019,dry,dry,7,37.248
14/9/2018,33,213,1,20/9/2018,13/11/2018,54,2,W3,6.08,1.84,0.302631579,0.697368421,3/12/2018,wet,dry,7,45.612
8/9/2018,22,4,-,11/9/2018,11/9/2018,0,0,D2,6.13,5.51,0.898858075,0.101141925,21/9/2018,dry,wet,11,34.786
27/9/2018,4,107,B SE,4/10/2018,4/10/2018,0,0,W4,6,5.39,0.898333333,0.101666667,12/10/2018,wet,dry,12,49.459
8/9/2018,19,408,-,20/9/2018,20/9/2018,0,0,D2,6.27,5.63,0.897926635,0.102073365,28/9/2018,dry,dry,11,34.786
3/9/2018,17,405,-,4/9/2018,4/9/2018,0,0,D1,6.07,5.45,0.89785832,0.10214168,14/9/2018,dry,dry,12,34.166
3/9/2018,21,10,-,11/9/2018,11/9/2018,0,0,D1,6.04,5.42,0.897350993,0.102649007,21/9/2018,dry,wet,12,34.166
8/9/2018,27,9,-,18/9/2018,18/9/2018,0,0,D2,6.08,5.45,0.896381579,0.103618421,28/9/2018,dry,wet,11,34.786
8/9/2018,14,6,-,18/9/2018,18/9/2018,0,0,D2,6.03,5.39,0.893864013,0.106135987,28/9/2018,dry,wet,11,34.786
8/9/2018,21,213,-,20/9/2018,20/9/2018,0,0,D2,6.03,5.39,0.893864013,0.106135987,28/9/2018,dry,dry,11,34.786
26/10/2018,14,107,b1,1/11/2018,1/11/2018,0,0,W6,6.08,5.43,0.893092105,0.106907895,9/11/2018,wet,dry,10,45.086
27/9/2018,6,4,C NE,9/10/2018,9/10/2018,0,0,W4,6.04,5.39,0.892384106,0.107615894,19/10/2018,wet,wet,12,49.459
3/9/2018,43,4,-,11/9/2018,11/9/2018,0,0,W1,6.12,5.46,0.892156863,0.107843137,21/9/2018,wet,wet,9,47.11
8/9/2018,21,6,-,18/9/2018,18/9/2018,0,0,W2,6.28,5.6,0.891719745,0.108280255,28/9/2018,wet,wet,7,47.505
28/10/2018,7,107,16,1/11/2018,26/12/2018,55,2,D6,6.31,2.25,0.356576862,0.643423138,17/1/2019,dry,dry,7,37.248
3/9/2018,20,107,-,6/9/2018,6/9/2018,0,0,W1,6.09,5.43,0.891625616,0.108374384,14/9/2018,wet,dry,9,47.11
3/9/2018,4,408,-,4/9/2018,4/9/2018,0,0,W1,6.14,5.47,0.890879479,0.109120521,14/9/2018,wet,dry,9,47.11
3/9/2018,30,10,-,11/9/2018,11/9/2018,0,0,W1,6.04,5.36,0.887417219,0.112582781,21/9/2018,wet,wet,9,47.11
27/9/2018,25,107,15,4/10/2018,1/11/2018,28,1,W4,6.08,2.28,0.375,0.625,9/11/2018,wet,dry,12,49.459
3/9/2018,1,405,-,4/9/2018,4/9/2018,0,0,W1,6.14,5.44,0.885993485,0.114006515,14/9/2018,wet,dry,9,47.11
27/9/2018,24,10,C NW,9/10/2018,9/10/2018,0,0,W4,6.03,5.34,0.885572139,0.114427861,19/10/2018,wet,wet,12,49.459
28/10/2018,13,213,a1,30/10/2018,30/10/2018,0,0,D6,6.11,5.41,0.885433715,0.114566285,9/11/2018,dry,dry,7,37.248
11/10/2018,32,107,b2,18/10/2018,18/10/2018,0,0,D5,6.01,5.3,0.881863561,0.118136439,26/11/2018,dry,dry,18,31.353
17/9/2018,31,408,28,20/9/2018,13/11/2018,54,2,D3,6.01,2.33,0.387687188,0.612312812,28/11/2018,dry,dry,21,31.781
26/10/2018,6,213,a1,30/10/2018,30/10/2018,0,0,W6,6.26,5.51,0.880191693,0.119808307,9/11/2018,wet,dry,10,45.086
7/12/2018,27,1,44,18/12/2018,15/1/2019,28,1,D8,6.08,2.4,0.394736842,0.605263158,19/2/2019,dry,dry,14,32.99
28/10/2018,25,3,c1,5/11/2018,5/11/2018,0,0,D6,6.36,5.59,0.878930818,0.121069182,16/11/2018,dry,wet,7,37.248
26/10/2018,32,10,c2,5/11/2018,5/11/2018,0,0,W6,6.65,5.84,0.878195489,0.121804511,16/11/2018,wet,wet,10,45.086
8/12/2018,28,1,c2,18/12/2018,18/12/2018,0,0,W8,6.07,5.33,0.878088962,0.121911038,28/12/2018,wet,dry,,44.619
28/10/2018,14,213,1,30/10/2018,26/12/2018,57,2,D6,6.43,2.6,0.404354588,0.595645412,15/1/2019,dry,dry,7,37.248
26/10/2018,26,6,b2,1/11/2018,1/11/2018,0,0,W6,6.23,5.47,0.878009631,0.121990369,9/11/2018,wet,wet,10,45.086
28/9/2018,15,405,22,2/10/2018,30/10/2018,28,1,D4,6.06,2.48,0.409240924,0.590759076,9/11/2018,dry,dry,18,34.469
17/9/2018,24,405,24,20/9/2018,13/11/2018,54,2,D3,6.03,2.53,0.419568823,0.580431177,28/11/2018,dry,dry,21,31.781
28/10/2018,34,1,44,5/11/2018,2/1/2019,58,2,D6,6.32,2.68,0.424050633,0.575949367,30/1/2019,dry,dry,7,37.248
28/10/2018,19,405,a2,30/10/2018,30/10/2018,0,0,D6,6.24,5.47,0.876602564,0.123397436,9/11/2018,dry,dry,7,37.248
14/9/2018,34,107,13,18/9/2018,15/11/2018,58,2,W3,6.03,2.61,0.432835821,0.567164179,24/12/2018,wet,dry,7,45.612
17/9/2018,32,405,21,20/9/2018,13/11/2018,54,2,D3,6.09,2.65,0.435139573,0.564860427,28/11/2018,dry,dry,21,31.781
3/9/2018,26,107,-,6/9/2018,6/9/2018,0,0,D1,6.04,5.29,0.875827815,0.124172185,14/9/2018,dry,dry,12,34.166
28/10/2018,1,107,b1,1/11/2018,1/11/2018,0,0,D6,6.19,5.42,0.875605816,0.124394184,9/11/2018,dry,dry,7,37.248
14/9/2018,13,408,27,20/9/2018,13/11/2018,54,2,W3,6.11,2.7,0.441898527,0.558101473,28/11/2018,wet,dry,7,45.612
26/10/2018,4,405,a2,30/10/2018,30/10/2018,0,0,W6,6.23,5.44,0.873194222,0.126805778,9/11/2018,wet,dry,10,45.086
26/10/2018,11,3,c1,5/11/2018,5/11/2018,0,0,W6,6.07,5.3,0.873146623,0.126853377,16/11/2018,wet,wet,10,45.086
28/9/2018,5,213,1,2/10/2018,30/10/2018,28,1,D4,6.12,2.76,0.450980392,0.549019608,9/11/2018,dry,dry,18,34.469
17/9/2018,33,408,26,20/9/2018,13/11/2018,54,2,D3,6.07,2.74,0.451400329,0.548599671,28/11/2018,dry,dry,21,31.781
28/10/2018,11,6,b2,1/11/2018,1/11/2018,0,0,D6,6.15,5.36,0.871544715,0.128455285,9/11/2018,dry,wet,7,37.248
