fill date,Site,date of deployment,date of retrieval,numDaysField,initialMass,dryMass,Source_Cond,Site_Cond,Batch,Batch1
8/9/2018,408,20/9/2018,20/9/2018,0,6.05,5.51,wet,dry,D2,W2
14/9/2018,405,20/9/2018,13/11/2018,54,6.04,0.78,wet,dry,W3,W3
8/9/2018,213,20/9/2018,20/9/2018,0,6.07,5.51,wet,dry,D2,W2
27/9/2018,408,2/10/2018,2/10/2018,0,6.06,5.49,wet,dry,W4,W4
28/10/2018,405,30/10/2018,26/12/2018,57,6.41,1.36,dry,dry,D6,D6
8/9/2018,3,11/9/2018,11/9/2018,0,6.17,5.58,wet,wet,D2,W2
28/10/2018,107,1/11/2018,26/12/2018,55,6.09,1.34,dry,dry,D6,D6
3/9/2018,4,11/9/2018,11/9/2018,0,6.37,5.76,dry,wet,D1,D1
8/9/2018,9,18/9/2018,18/9/2018,0,6.36,5.75,wet,wet,D2,W2
27/9/2018,9,4/10/2018,4/10/2018,0,6.02,5.43,wet,wet,W4,W4
28/10/2018,405,30/10/2018,26/12/2018,57,6.22,1.68,dry,dry,D6,D6
8/9/2018,4,11/9/2018,11/9/2018,0,6.25,5.63,wet,wet,D2,D1
27/9/2018,405,2/10/2018,2/10/2018,0,6.09,5.48,wet,dry,W4,W4
8/9/2018,3,11/9/2018,11/9/2018,0,6.08,5.47,dry,wet,D2,W2
3/9/2018,6,6/9/2018,6/9/2018,0,6.84,6.15,dry,wet,D1,D1
28/10/2018,213,30/10/2018,26/12/2018,57,6.46,1.89,dry,dry,D6,D6
14/9/2018,213,20/9/2018,13/11/2018,54,6.08,1.84,wet,dry,W3,W2
8/9/2018,4,11/9/2018,11/9/2018,0,6.13,5.51,dry,wet,D2,D1
27/9/2018,107,4/10/2018,4/10/2018,0,6,5.39,wet,dry,W4,W4
8/9/2018,408,20/9/2018,20/9/2018,0,6.27,5.63,dry,dry,D2,W2
3/9/2018,405,4/9/2018,4/9/2018,0,6.07,5.45,dry,dry,D1,D1
3/9/2018,10,11/9/2018,11/9/2018,0,6.04,5.42,dry,wet,D1,D1
8/9/2018,9,18/9/2018,18/9/2018,0,6.08,5.45,dry,wet,D2,W2
8/9/2018,6,18/9/2018,18/9/2018,0,6.03,5.39,dry,wet,D2,D2
8/9/2018,213,20/9/2018,20/9/2018,0,6.03,5.39,dry,dry,D2,W2
26/10/2018,107,1/11/2018,1/11/2018,0,6.08,5.43,wet,dry,W6,D6
27/9/2018,4,9/10/2018,9/10/2018,0,6.04,5.39,wet,wet,W4,W4
3/9/2018,4,11/9/2018,11/9/2018,0,6.12,5.46,wet,wet,D1,D1
8/9/2018,6,18/9/2018,18/9/2018,0,6.28,5.6,wet,wet,D2,D2
28/10/2018,107,1/11/2018,26/12/2018,55,6.31,2.25,dry,dry,D6,D6
3/9/2018,107,6/9/2018,6/9/2018,0,6.09,5.43,wet,dry,D1,W1
3/9/2018,408,4/9/2018,4/9/2018,0,6.14,5.47,wet,dry,D1,W1
3/9/2018,10,11/9/2018,11/9/2018,0,6.04,5.36,wet,wet,D1,D1
27/9/2018,107,4/10/2018,1/11/2018,28,6.08,2.28,wet,dry,W4,W4
3/9/2018,405,4/9/2018,4/9/2018,0,6.14,5.44,wet,dry,D1,D1
27/9/2018,10,9/10/2018,9/10/2018,0,6.03,5.34,wet,wet,W4,W4
28/10/2018,213,30/10/2018,30/10/2018,0,6.11,5.41,dry,dry,D6,D6
11/10/2018,107,18/10/2018,18/10/2018,0,6.01,5.3,dry,dry,D5,D5
17/9/2018,408,20/9/2018,13/11/2018,54,6.01,2.33,dry,dry,D3,W2
26/10/2018,213,30/10/2018,30/10/2018,0,6.26,5.51,wet,dry,W6,D6
7/12/2018,1,18/12/2018,15/1/2019,28,6.08,2.4,dry,dry,D8,D8
28/10/2018,3,5/11/2018,5/11/2018,0,6.36,5.59,dry,wet,D6,D6
26/10/2018,10,5/11/2018,5/11/2018,0,6.65,5.84,wet,wet,W6,W6
8/12/2018,1,18/12/2018,18/12/2018,0,6.07,5.33,wet,dry,W8,D8
28/10/2018,213,30/10/2018,26/12/2018,57,6.43,2.6,dry,dry,D6,D6
26/10/2018,6,1/11/2018,1/11/2018,0,6.23,5.47,wet,wet,W6,W6
28/9/2018,405,2/10/2018,30/10/2018,28,6.06,2.48,dry,dry,D4,W4
17/9/2018,405,20/9/2018,13/11/2018,54,6.03,2.53,dry,dry,D3,W3
28/10/2018,1,5/11/2018,2/1/2019,58,6.32,2.68,dry,dry,D6,D6
28/10/2018,405,30/10/2018,30/10/2018,0,6.24,5.47,dry,dry,D6,D6
14/9/2018,107,18/9/2018,15/11/2018,58,6.03,2.61,wet,dry,W3,W3
17/9/2018,405,20/9/2018,13/11/2018,54,6.09,2.65,dry,dry,D3,W3
3/9/2018,107,6/9/2018,6/9/2018,0,6.04,5.29,dry,dry,D1,W1
28/10/2018,107,1/11/2018,1/11/2018,0,6.19,5.42,dry,dry,D6,D6
